country,zip,primary_city,state_name,state,county,county_code,a,b,latitude,longitude,accuracy,country_name
IT,"67021","Picenze","Abruzzi","AB","L'Aquila","AQ","","","42.3206","13.5411","4",Italy
IT,"67021","Barisciano","Abruzzi","AB","L'Aquila","AQ","","","42.3244","13.5924","4",Italy
IT,"67022","Capestrano","Abruzzi","AB","L'Aquila","AQ","","","42.2684","13.7658","4",Italy
IT,"67023","Castel Del Monte","Abruzzi","AB","L'Aquila","AQ","","","42.3657","13.7279","4",Italy
IT,"67024","Castelvecchio Subequo","Abruzzi","AB","L'Aquila","AQ","","","42.1302","13.7278","4",Italy
IT,"67025","Ofena","Abruzzi","AB","L'Aquila","AQ","","","42.3258","13.7587","4",Italy
IT,"67026","Poggio Picenze","Abruzzi","AB","L'Aquila","AQ","","","42.3206","13.5411","4",Italy
IT,"67027","Raiano","Abruzzi","AB","L'Aquila","AQ","","","42.1023","13.8146","4",Italy
IT,"67028","San Demetrio Ne' Vestini","Abruzzi","AB","L'Aquila","AQ","","","42.2408","13.6644","1",Italy
IT,"67029","Secinaro","Abruzzi","AB","L'Aquila","AQ","","","42.1529","13.6807","4",Italy
IT,"67030","Introdacqua","Abruzzi","AB","L'Aquila","AQ","","","42.0074","13.8983","4",Italy
IT,"67030","Cansano","Abruzzi","AB","L'Aquila","AQ","","","42.0044","14.0119","4",Italy
IT,"67030","Campo Di Giove","Abruzzi","AB","L'Aquila","AQ","","","42.0101","14.0394","4",Italy
IT,"67030","Rocca Pia","Abruzzi","AB","L'Aquila","AQ","","","41.9334","13.977","4",Italy
IT,"67030","Ateleta","Abruzzi","AB","L'Aquila","AQ","","","41.8554","14.1975","4",Italy
IT,"67030","Villetta Barrea","Abruzzi","AB","L'Aquila","AQ","","","41.7758","13.9385","4",Italy
IT,"67030","Prezza","Abruzzi","AB","L'Aquila","AQ","","","42.0593","13.8346","4",Italy
IT,"67030","Goriano Sicoli","Abruzzi","AB","L'Aquila","AQ","","","42.0808","13.7748","4",Italy
IT,"67030","Cocullo","Abruzzi","AB","L'Aquila","AQ","","","42.0328","13.775","4",Italy
IT,"67030","Scontrone","Abruzzi","AB","L'Aquila","AQ","","","41.7473","14.0394","4",Italy
IT,"67030","Bugnara","Abruzzi","AB","L'Aquila","AQ","","","42.0238","13.8614","4",Italy
IT,"67030","Castrovalva","Abruzzi","AB","L'Aquila","AQ","","","41.953","13.9184","3",Italy
IT,"67030","Campo Di Fano","Abruzzi","AB","L'Aquila","AQ","","","41.953","13.9184","3",Italy
IT,"67030","Pacentro","Abruzzi","AB","L'Aquila","AQ","","","42.0504","13.9915","4",Italy
IT,"67030","Vittorito","Abruzzi","AB","L'Aquila","AQ","","","42.127","13.8167","4",Italy
IT,"67030","Barrea","Abruzzi","AB","L'Aquila","AQ","","","41.7559","13.9925","4",Italy
IT,"67030","Civitella Alfedena","Abruzzi","AB","L'Aquila","AQ","","","41.7653","13.9427","4",Italy
IT,"67030","Opi","Abruzzi","AB","L'Aquila","AQ","","","41.7769","13.8292","4",Italy
IT,"67030","Alfedena","Abruzzi","AB","L'Aquila","AQ","","","41.7363","14.0385","4",Italy
IT,"67030","Corfinio","Abruzzi","AB","L'Aquila","AQ","","","42.1237","13.8415","4",Italy
IT,"67030","Anversa Degli Abruzzi","Abruzzi","AB","L'Aquila","AQ","","","41.9938","13.8039","4",Italy
IT,"67030","Roccacasale","Abruzzi","AB","L'Aquila","AQ","","","42.1229","13.8881","4",Italy
IT,"67030","Torre Dei Nolfi","Abruzzi","AB","L'Aquila","AQ","","","42.0469","13.8703","4",Italy
IT,"67030","Villalago","Abruzzi","AB","L'Aquila","AQ","","","41.9347","13.842","4",Italy
