country,zip,primary_city,state,state_name,county,country_name,latitude,longitude
JP,"100-6024","Chiyoda","13","Tokyo","Kasumigaseki","Japan",35.671127,139.74728
JP,"100-6025","Chiyoda","13","Tokyo","Kasumigaseki","Japan",35.671127,139.74728
JP,"100-6026","Chiyoda","13","Tokyo","Kasumigaseki","Japan",35.671127,139.74728
JP,"100-6027","Chiyoda","13","Tokyo","Kasumigaseki","Japan",35.671127,139.74728
JP,"100-6028","Chiyoda","13","Tokyo","Kasumigaseki","Japan",35.671127,139.74728
JP,"100-6029","Chiyoda","13","Tokyo","Kasumigaseki","Japan",35.671127,139.74728
JP,"100-6030","Chiyoda","13","Tokyo","Kasumigaseki","Japan",35.671127,139.74728
JP,"100-6031","Chiyoda","13","Tokyo","Kasumigaseki","Japan",35.671127,139.74728
JP,"100-6032","Chiyoda","13","Tokyo","Kasumigaseki","Japan",35.671127,139.74728
JP,"100-6033","Chiyoda","13","Tokyo","Kasumigaseki","Japan",35.671127,139.74728
JP,"100-6034","Chiyoda","13","Tokyo","Kasumigaseki","Japan",35.671127,139.74728
JP,"100-6035","Chiyoda","13","Tokyo","Kasumigaseki","Japan",35.671127,139.74728
JP,"100-6036","Chiyoda","13","Tokyo","Kasumigaseki","Japan",35.671127,139.74728
JP,"101-0029","Chiyoda","13","Tokyo","Kanda Aioicho","Japan",35.699337,139.77388
JP,"101-0063","Chiyoda","13","Tokyo","Kanda Awajicho","Japan",35.696365,139.76712
JP,"101-0024","Chiyoda","13","Tokyo","Kanda Izumicho","Japan",35.69958,139.777
JP,"101-0033","Chiyoda","13","Tokyo","Kanda Iwamotocho","Japan",35.694958,139.7749
JP,"101-0052","Chiyoda","13","Tokyo","Kanda Ogawamachi","Japan",35.6944,139.76424
JP,"101-0045","Chiyoda","13","Tokyo","Kanda Kajicho","Japan",35.6938,139.77045
JP,"101-0036","Chiyoda","13","Tokyo","Kanda Kitanorimonocho","Japan",35.692577,139.77412
JP,"101-0035","Chiyoda","13","Tokyo","Kanda Konyacho","Japan",35.69304,139.77406
JP,"101-0026","Chiyoda","13","Tokyo","Kanda Sakumagashi","Japan",35.69711,139.77858
JP,"101-0025","Chiyoda","13","Tokyo","Kanda Sakumacho","Japan",35.697563,139.77614
JP,"101-0051","Chiyoda","13","Tokyo","Kanda Jinbocho","Japan",35.698082,139.75632
JP,"101-0041","Chiyoda","13","Tokyo","Kanda Sudacho","Japan",35.695057,139.76973
JP,"101-0062","Chiyoda","13","Tokyo","Kanda Surugadai","Japan",35.699276,139.76347
JP,"101-0046","Chiyoda","13","Tokyo","Kanda Tacho","Japan",35.694252,139.76898
JP,"101-0048","Chiyoda","13","Tokyo","Kanda Tsukasamachi","Japan",35.6932,139.76762
JP,"101-0043","Chiyoda","13","Tokyo","Kanda Tomiyamacho","Japan",35.693527,139.77258
JP,"101-0054","Chiyoda","13","Tokyo","Kanda Nishikicho","Japan",35.691124,139.76234
JP,"101-0037","Chiyoda","13","Tokyo","Kanda Nishifukudacho","Japan",35.69159,139.77454
JP,"101-0022","Chiyoda","13","Tokyo","Kanda Neribeicho","Japan",35.700474,139.77338
JP,"101-0028","Chiyoda","13","Tokyo","Kanda Hanaokacho","Japan",35.698517,139.77365
JP,"101-0034","Chiyoda","13","Tokyo","Kanda Higashikonyacho","Japan",35.69315,139.77477
JP,"101-0042","Chiyoda","13","Tokyo","Kanda Higashimatsushitacho","Japan",35.694458,139.77257
JP,"101-0027","Chiyoda","13","Tokyo","Kanda Hirakawacho","Japan",35.697735,139.77602
JP,"101-0023","Chiyoda","13","Tokyo","Kanda Matsunagacho","Japan",35.70034,139.77507
JP,"101-0038","Chiyoda","13","Tokyo","Kanda Mikuracho","Japan",35.690907,139.77403
JP,"101-0053","Chiyoda","13","Tokyo","Kanda Mitoshirocho","Japan",35.6939,139.76585
JP,"102-0094","Chiyoda","13","Tokyo","Kioicho","Japan",35.681583,139.7379
JP,"102-0091","Chiyoda","13","Tokyo","Kitanomarukoen","Japan",35.69345,139.74968
JP,"102-0074","Chiyoda","13","Tokyo","Kudanminami","Japan",35.69282,139.743
JP,"102-0073","Chiyoda","13","Tokyo","Kudankita","Japan",35.696575,139.75139
JP,"100-0002","Chiyoda","13","Tokyo","Kokyogaien","Japan",35.676968,139.75882
JP,"102-0083","Chiyoda","13","Tokyo","Kojimachi","Japan",35.68454,139.74094
JP,"102-0076","Chiyoda","13","Tokyo","Gobancho","Japan",35.690212,139.73537
JP,"101-0064","Chiyoda","13","Tokyo","Sarugakucho","Japan",35.69807,139.75928
JP,"102-0075","Chiyoda","13","Tokyo","Sanbancho","Japan",35.6915,139.74284
JP,"101-0021","Chiyoda","13","Tokyo","Sotokanda","Japan",35.700947,139.7696
JP,"100-0001","Chiyoda","13","Tokyo","Chiyoda","Japan",35.68385,139.75397
JP,"100-0014","Chiyoda","13","Tokyo","Nagatacho","Japan",35.678764,139.74158
JP,"100-6190","Chiyoda","13","Tokyo","Nagatacho","Japan",35.673225,139.74065
JP,"100-6101","Chiyoda","13","Tokyo","Nagatacho","Japan",35.673225,139.74065
JP,"100-6102","Chiyoda","13","Tokyo","Nagatacho","Japan",35.673225,139.74065
JP,"100-6103","Chiyoda","13","Tokyo","Nagatacho","Japan",35.673225,139.74065
JP,"100-6104","Chiyoda","13","Tokyo","Nagatacho","Japan",35.673225,139.74065
JP,"100-6105","Chiyoda","13","Tokyo","Nagatacho","Japan",35.673225,139.74065
JP,"100-6106","Chiyoda","13","Tokyo","Nagatacho","Japan",35.673225,139.74065
JP,"100-6107","Chiyoda","13","Tokyo","Nagatacho","Japan",35.673225,139.74065
JP,"100-6108","Chiyoda","13","Tokyo","Nagatacho","Japan",35.673225,139.74065
JP,"100-6109","Chiyoda","13","Tokyo","Nagatacho","Japan",35.673225,139.74065
JP,"100-6110","Chiyoda","13","Tokyo","Nagatacho","Japan",35.673225,139.74065
JP,"100-6111","Chiyoda","13","Tokyo","Nagatacho","Japan",35.673225,139.74065
JP,"100-6112","Chiyoda","13","Tokyo","Nagatacho","Japan",35.673225,139.74065
